
 >> ingrese max_depth: 2
Pair: ETH/ZRX - Price: 0.00165801
Pair: ZRX/ETH - Price: 611.8865072906277
Pair: USDT/VET - Price: 0.00564283
Pair: VET/USDT - Price: 179.67611583359837
Pair: USDT/XRP - Price: 0.29077039
Pair: XRP/USDT - Price: 3.4513712660433975
Pair: USDT/BTT - Price: 0.00045667
Pair: BTT/USDT - Price: 2210.970837294656
Pair: USDT/BTC - Price: 9230.02898359
Pair: BTC/USDT - Price: 0.00010834202165334215
Pair: BTC/BCH - Price: 0.0317225
Pair: BCH/BTC - Price: 31.52581144286073
Pair: ETH/ADA - Price: 0.00023149
Pair: ADA/ETH - Price: 4324.324324324324
Pair: BTC/BAT - Price: 2.726e-05
Pair: BAT/BTC - Price: 36751.19441381845
Pair: BTC/VDX - Price: 2.1e-07
Pair: VDX/BTC - Price: 5000000.0
Pair: USDT/NEO - Price: 11.17635243
Pair: NEO/USDT - Price: 0.08991584347310778
Pair: BTC/ETH - Price: 0.02034833
Pair: ETH/BTC - Price: 49.16754430733255
Pair: BTC/LTC - Price: 0.00669508
Pair: LTC/BTC - Price: 149.49716628121314
Pair: ETH/NPXS - Price: 1.03e-06
Pair: NPXS/ETH - Price: 1020408.1632653062
Pair: BTC/DCR - Price: 0.00216877
Pair: DCR/BTC - Price: 461.87243083460345
Pair: BTC/ATOM - Price: 0.00042801
Pair: ATOM/BTC - Price: 2351.5579071134625
Pair: ETH/ETC - Price: 0.02799536
Pair: ETC/ETH - Price: 36.11481187613919
Pair: ETH/HBAR - Price: 0.00018112
Pair: HBAR/ETH - Price: 5543.2372505543235
Pair: USDT/ATOM - Price: 3.96698737
Pair: ATOM/USDT - Price: 0.2564246063257258
Pair: BTC/OMG - Price: 0.00010829
Pair: OMG/BTC - Price: 9285.051067780872
Pair: USDT/ZRX - Price: 0.30971279
Pair: ZRX/USDT - Price: 3.2937761793447953
Pair: ETH/ATOM - Price: 0.02167937
Pair: ATOM/ETH - Price: 49.268146320482394
Pair: ETH/NEO - Price: 0.05954576
Pair: NEO/ETH - Price: 16.882988396997394
Pair: USDT/DOGE - Price: 0.00268999
Pair: DOGE/USDT - Price: 373.9044599323981
Pair: USDT/OGO - Price: 0.0238
Pair: OGO/USDT - Price: 52.6313573416533
Pair: USDT/ZEC - Price: 38.71499783
Pair: ZEC/USDT - Price: 0.02592095924644603
Pair: USDT/LTC - Price: 61.91965399
Pair: LTC/USDT - Price: 0.01622790988931209
Pair: BTC/DASH - Price: 0.0078488
Pair: DASH/BTC - Price: 127.71392081736909
Pair: BTC/ONT - Price: 9.672e-05
Pair: ONT/BTC - Price: 10409.07671489539
Pair: BTC/XRP - Price: 3.142e-05
Pair: XRP/BTC - Price: 31847.133757961787
Pair: BTC/DOGE - Price: 3e-07
Pair: DOGE/BTC - Price: 3448275.862068966
Pair: USDT/RVN - Price: 0.0294356
Pair: RVN/USDT - Price: 35.36913349867224
Pair: USDT/PMA - Price: 0.00024601
Pair: PMA/USDT - Price: 4287.796929937398
Pair: ETH/DASH - Price: 0.38760006
Pair: DASH/ETH - Price: 2.5966575927332642
Pair: BTC/VET - Price: 6.1e-07
Pair: VET/BTC - Price: 1666666.6666666667
Pair: BTC/NPXS - Price: 3e-08
Pair: NPXS/BTC - Price: 50000000.0
Pair: ETH/XMR - Price: 0.33777858
Pair: XMR/ETH - Price: 2.974130182912575
Pair: ETH/LTC - Price: 0.32956365
Pair: LTC/ETH - Price: 3.0501012374352223
Pair: USDT/SC - Price: 0.0021152
Pair: SC/USDT - Price: 481.3361892613896
Pair: USDT/BCH - Price: 293.82322826
Pair: BCH/USDT - Price: 0.003419846910319142
Pair: USDT/NPXS - Price: 0.0001955
Pair: NPXS/USDT - Price: 5584.096493187402
Pair: USDT/OCEAN - Price: 0.03741557
Pair: OCEAN/USDT - Price: 26.9954642221014
Pair: BTC/DAI - Price: 0.00010856
Pair: DAI/BTC - Price: 9245.562130177515
Pair: ETH/DAI - Price: 0.00538992
Pair: DAI/ETH - Price: 187.5855859235776
Pair: BTC/PMA - Price: 3e-08
Pair: PMA/BTC - Price: 50000000.0
Pair: USDT/ETH - Price: 187.9454861
Pair: ETH/USDT - Price: 0.005327650506126798
Pair: BTC/RVN - Price: 3.17e-06
Pair: RVN/BTC - Price: 316455.6962025317
Pair: USDT/TRX - Price: 0.01967729
Pair: TRX/USDT - Price: 50.9405406727106
Pair: USDT/EOS - Price: 3.49206025
Pair: EOS/USDT - Price: 0.2884706907489538
Pair: BTC/OGO - Price: 2.28e-06
Pair: OGO/BTC - Price: 1000000.0
Pair: USDT/XMR - Price: 63.43937162
Pair: XMR/USDT - Price: 0.015864768555454798
Pair: BTC/ENJ - Price: 7.1e-06
Pair: ENJ/BTC - Price: 141442.71570014145
Pair: USDT/BSV - Price: 133.68288381
Pair: BSV/USDT - Price: 0.007524081830054933
Pair: BTC/HBAR - Price: 3.68e-06
Pair: HBAR/BTC - Price: 273224.04371584696
Pair: USDT/DGB - Price: 0.00704741
Pair: DGB/USDT - Price: 143.41173652969414
Pair: USDT/DASH - Price: 72.58525223
Pair: DASH/USDT - Price: 0.01385472595565838
Pair: BTC/ADA - Price: 4.73e-06
Pair: ADA/BTC - Price: 211864.40677966102
Pair: ETH/EOS - Price: 0.01860802
Pair: EOS/ETH - Price: 54.05396639897341
Pair: BTC/XMR - Price: 0.00685286
Pair: XMR/BTC - Price: 146.47958294333142
